SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Jamshet Tal Dhahni Survey No 33/2/1
Total Area 0.50 Hectres
Built Up Area
Whether Inherited N
Purchase Date 1994-01-24
Purchase Cost 150000.00
Development Cost 216540.00
14,29,950  14 Lacs+

Jalwai Bondi Tal Dahanu Gat No 82
Total Area 3.77.40 Hectre
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
20,33,872  20 Lacs+","Jamshet Tal Dahanu Survey No 33/2/2
Total Area 1.50 Hectres
Built Up Area
Whether Inherited N
Purchase Date 1994-01-24
Purchase Cost 101000.00
Development Cost 948620.00
47,18,835  47 Lacs+

Rambaug Gut Kramank 38/2/B 41/2 42/2
Total Area 1.53.0 Hectres
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
3,88,582  3 Lacs+",Nil,Nil,Nil,Nil, 8571239
ii,Non Agricultural Land,"Masoli Tal Dahanu Joint Ownership With Mt Ashok Chaudhary Survey No 172/1/11
Total Area 1770.5 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 1997-06-24
Purchase Cost 120000.00
Development Cost 0.00
9,08,040  9 Lacs+","Masoli Tal Dahanu Joint Ownership With Mrs Manisha Chaudhary Survey No 172/1/11
Total Area 1770.5 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 1997-06-24
Purchase Cost 120000.00
Development Cost 0.00
9,08,040  9 Lacs+",Nil,Nil,Nil,Nil, 1816080
iii,Commercial Buildings,"207 Indraprashtha Dahanu Pin 401602 (In the capacity of proprietor of MAC International)
Total Area 280Sqft
Built Up Area 300Sqft
Whether Inherited N
Purchase Date 2005-10-17
Purchase Cost 180000.00
Development Cost 0.00
9,08,180  9 Lacs+","206 Indraprashtha Dahanu Pin 401602
Total Area 290 Sq Ft
Built Up Area 300 Sq Ft
Whether Inherited N
Purchase Date 2005-10-17
Purchase Cost 190000.00
Development Cost 0.00
9,40,620  9 Lacs+

40 Janardan Arcade Dahanu Pin 401602
Total Area 392 Sq Ft
Built Up Area 420 Sq Ft
Whether Inherited N
Purchase Date 2009-12-29
Purchase Cost 196000.00
Development Cost 0.00
6,52,120  6 Lacs+",Nil,Nil,Nil,Nil, 2500920
iv,Residential Buildings,"A23 Rustom Baug Dahanu Road Survey No 79/1 & 79/2
Total Area 800 Sq Ft
Built Up Area 900 Sq Ft
Whether Inherited N
Purchase Date 1997-05-17
Purchase Cost 523625.00
Development Cost 0.00
23,00,000  23 Lacs+","602 Guruvihar Eksar Borivali West
Total Area 1270 Sq Ft
Built Up Area 1350 Sq Ft
Whether Inherited N
Purchase Date 2008-10-10
Purchase Cost 8800000.00
Development Cost 0.00
62,50,000  62 Lacs+",Nil,Nil,Nil,Nil, 8550000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"75,80,042  75 Lacs+","1,38,58,197  1 Crore+",Nil,Nil,Nil,Nil, 21438239
vii,Totals Calculated,"Rs 75,80,042
75 Lacs+","Rs 1,38,58,197
1 Crore+",Nil,Nil,Nil,Nil, 21438239
