SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Non Agricultural Land,"MOUZA PARDI NETAJI NAGAR SURVEY NO 31
Total Area 8080 SQFT
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 11868419.00
Development Cost 0.00
1,19,60,000  1 Crore+","MOUZA PARDI BHARATWADA SUVERY NO 16
Total Area 12917 SQFT
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 11090000.00
Development Cost 0.00
1,13,20,000  1 Crore+

MOUZA PARDI BHARATWADA SUVERY NO 48
Total Area 4000SQFT
Built Up Area
Whether Inherited N
Purchase Date 2014-06-18
Purchase Cost 578000.00
Development Cost 0.00
20,44,000  20 Lacs+",Nil,Nil,Nil,Nil, 25324000
iii,Commercial Buildings,Nil,Nil,"MOUZA NAGPUR SATANJIPURA ITAWARI 250 23/10/2008 09/09/2009
Total Area 4574 SQFT
Built Up Area 10310 SQFT
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 2647000.00
Development Cost 0.00
2,58,66,000  2 Crore+",Nil,Nil,Nil, 25866000
iv,Residential Buildings,"MOUZA NAGPUR SARTRANJIPUR ITWARI 347 12/01/1994 05/07/1997
Total Area 1701 SQFT
Built Up Area 2552 SQFT
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 376000.00
Development Cost 568075.00
64,05,000  64 Lacs+","MOUZA NAGPUR SATRANJIPUR ITWARI 172 AND 173 03/07/2001 30/06/2006
Total Area 2596 SQFT
Built Up Area 3365 SQFT
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 727000.00
Development Cost 1924903.00
1,63,46,000  1 Crore+",Nil,Nil,Nil,Nil, 22751000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"1,83,65,000  1 Crore+","2,97,10,000  2 Crore+","2,58,66,000  2 Crore+",Nil,Nil,Nil, 73941000
vii,Totals Calculated,"Rs 1,83,65,000
1 Crore+","Rs 2,97,10,000
2 Crore+","Rs 2,58,66,000
2 Crore+",Nil,Nil,Nil, 73941000
