SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Pandurni: 57
Total Area
Built Up Area
Whether Inherited N
Purchase Date 2000-05-09
Purchase Cost 115000.00
Development Cost 0.00
32,21,400  32 Lacs+

Kotgyala; 42/D, 41/D
Total Area
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
6,72,000  6 Lacs+

Mukhed 329/B
Total Area
Built Up Area
Whether Inherited N
Purchase Date 2018-11-13
Purchase Cost 700000.00
Development Cost 0.00
16,95,000  16 Lacs+",Nil,Nil,Nil,Nil,Nil, 5588400
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Commercial Buildings,"Vasantnagar 116
Total Area 27,225 Sq ft
Built Up Area 2,810 Sq ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
70,38,000  70 Lacs+","Vasantnagar 116
Total Area 14,157 Sq Ft
Built Up Area 2,810 Sq ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
56,51,900  56 Lacs+",Nil,Nil,Nil,Nil, 12689900
iv,Residential Buildings,"Vasantnagar Gram Panchayat No. 291
Total Area 4800 Sq ft
Built Up Area 1800 Sq ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
31,64,000  31 Lacs+

Mhada Pune Morewadi Pinpari House No. , Sectr 6,A,4,401
Total Area 986.90 Sq ft
Built Up Area 986.90 Sq ft
Whether Inherited N
Purchase Date 2018-08-20
Purchase Cost 6354300.00
Development Cost 0.00
67,50,000  67 Lacs+",Nil,Nil,Nil,Nil,Nil, 9914000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"2,41,40,400  2 Crore+","56,51,900  56 Lacs+",Nil,Nil,Nil,Nil, 29792300
vii,Totals Calculated,"Rs 2,25,40,400
2 Crore+","Rs 56,51,900
56 Lacs+",Nil,Nil,Nil,Nil, 28192300
