SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"61/2, sarkoli
Total Area 8 acres 120 gunthe
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
37,40,100  37 Lacs+

uchethan
Total Area 8 acres 10 gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
9,16,965  9 Lacs+","Sarkoki 65 1/2 part
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,33,180  10 Lacs+

Ucchethan 163/1a /
Total Area
Built Up Area
Whether Inherited N
Purchase Date 2013-01-16
Purchase Cost 323000.00
Development Cost 0.00
9,16,965  9 Lacs+

163/1b
Total Area 5 acres 30 gunthe
Built Up Area
Whether Inherited N
Purchase Date 2013-01-16
Purchase Cost 0.00
Development Cost 0.00
3,23,000  3 Lacs+",Nil,Nil,Nil,Nil, 6930210
ii,Non Agricultural Land,"Sarkoli pandharpur
Total Area 2000 sq ft
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,532  10 Thou+",Nil,Nil,Nil,Nil,Nil, 10532
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Residential Buildings,"sarkoli sarve no. 4763, 338,
Total Area 4549.86 sq ft
Built Up Area 1845 sq ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,28,339  2 Lacs+

sarkoli 476 84.57
Total Area 4459.86 sq ft
Built Up Area 1845 sq ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,87,985  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 1116324
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"57,83,921  57 Lacs+","23,53,145  23 Lacs+",Nil,Nil,Nil,Nil, 8137066
vii,Totals Calculated,"Rs 57,83,921
57 Lacs+","Rs 22,73,145
22 Lacs+",Nil,Nil,Nil,Nil, 8057066
