SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Gardi 424 & 532
Total Area 8Acre35Gunthe
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,67,00,000  1 Crore+","Gardi 424
Total Area 2Acre04Gunthe
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 15000000.00
1,90,00,000  1 Crore+",Nil,Nil,Nil,Nil, 35700000
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Commercial Buildings,Nil,"Gardi 424 884/654/653/655
Total Area 16927Sq.Ft
Built Up Area 16927Sq.Ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 6700000.00
1,90,00,000  1 Crore+",Nil,Nil,Nil,Nil, 19000000
iv,Residential Buildings,"Gardi 343/2 & 343/3
Total Area 23411Sq.Ft
Built Up Area 8174Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 192500.00
Development Cost 4000000.00
1,85,00,000  1 Crore+",Nil,Nil,Nil,Nil,Nil, 18500000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"3,52,00,000  3 Crore+","1,90,00,000  1 Crore+",Nil,Nil,Nil,Nil, 54200000
vii,Totals Calculated,"Rs 3,52,00,000
3 Crore+","Rs 3,80,00,000
3 Crore+",Nil,Nil,Nil,Nil, 73200000
