SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Non Agricultural Land,"Wareri Tal Devgad Jila Sindhudurg Gat No 1368
Total Area 172062 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 1800000.00
Development Cost 0.00
31,00,000  31 Lacs+",Nil,Nil,Nil,Nil,Nil, 3100000
iii,Commercial Buildings,"3 Kavli Building S K Bole Road Dadar West Survey No 268,269
Total Area 300 Sq ft
Built Up Area 425 Sq Ft
Whether Inherited N
Purchase Date 2003-06-15
Purchase Cost 800000.00
Development Cost 0.00
80,00,000  80 Lacs+

Gala No 9 Chandraprabha Building Udaygiri Road Bhandup East Survey No 1007
Total Area 195 Sq Ft
Built Up Area 253.5 Sq Ft
Whether Inherited N
Purchase Date 2015-07-28
Purchase Cost 2332000.00
Development Cost 0.00
30,00,000  30 Lacs+

Gala No 5 Chandraprabha Building Udaygiri Road Bhandup East Survey No 1007
Total Area 150 Sq Ft
Built Up Area 195 Sq Ft
Whether Inherited N
Purchase Date 2016-11-18
Purchase Cost 2968000.00
Development Cost 0.00
35,00,000  35 Lacs+

Gala No 6 Chandraprabha Building Udaygiri Road Bhandup East Survey No 1007
Total Area 214 Sq Ft
Built Up Area 278 Sq Ft
Whether Inherited N
Purchase Date 2016-11-18
Purchase Cost 3390000.00
Development Cost 0.00
40,00,000  40 Lacs+",Nil,Nil,Nil,Nil,Nil, 18500000
iv,Residential Buildings,"6/7/13 Tulip Housing Soc Bhawani Nagar Marol Andheri East STC No 152,153,273,171,174,109/2,25
Total Area 325 Sq Ft
Built Up Area 475 Sq Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 1250000.00
Development Cost 0.00
82,00,000  82 Lacs+",Nil,Nil,Nil,Nil,Nil, 8200000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"2,98,00,000  2 Crore+",Nil,Nil,Nil,Nil,Nil, 29800000
vii,Totals Calculated,"Rs 2,98,00,000
2 Crore+",Nil,Nil,Nil,Nil,Nil, 29800000
