SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Pahadsingpura Aurangabad 98
Total Area 159248Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,00,64,000  2 Crore+",Nil,Nil,"Pahadsingpura Aurangabad 98
Total Area 159248
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,00,64,000  2 Crore+","Pahadsingpura Aurangabad 98
Total Area 159248Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,00,64,000  2 Crore+",Nil, 60192000
ii,Non Agricultural Land,"Sajapur Aurangabad 27/2
Total Area 128044Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,50,00,000  8 Crore+

Kumbharvada 4519
Total Area 2511Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,33,97,160  1 Crore+

Kumbharvada 4513
Total Area 194Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,33,200  10 Lacs+

Pahadsingpura Aurangabad 42/2
Total Area 2339.11Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,34,774  14 Lacs+

Ajabnagar Parisar 14453/1
Total Area 9916Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,22,09,114  2 Crore+

Nehru Palace 20663/4/7
Total Area 3066Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,01,99,420  1 Crore+","MIDC Nevasa Ahmednagar 51
Total Area 3264Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2014-10-29
Purchase Cost 1518940.00
Development Cost 0.00
27,40,500  27 Lacs+

17361 Krantichowk
Total Area 5952Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2016-01-01
Purchase Cost 18804767.00
Development Cost 0.00
2,04,66,550  2 Crore+",Nil,"Dasingpura 42/2
Total Area 2339.11Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,34,774  14 Lacs+

Ajabnagar 14453/1
Total Area 9916Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2015-01-06
Purchase Cost 6837000.00
Development Cost 0.00
2,22,09,114  2 Crore+","Pahadsingpura 42/2
Total Area 2339.11Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,34,774  14 Lacs+

Ajabnagar 14453/1
Total Area 9916Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,22,09,114  2 Crore+",Nil, 203768494
iii,Commercial Buildings,"Kumbharvada 4218/19/20
Total Area 525Sq.Ft
Built Up Area 753Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
43,69,830  43 Lacs+

Kumbharvada 4472
Total Area 640Sq.Ft
Built Up Area 1225Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
86,67,790  86 Lacs+

Gulmandi 4205
Total Area 260Sq.Ft
Built Up Area 1318Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
28,17,500  28 Lacs+

Nehru Palace 20662/4/7
Total Area 409Sq.Fts
Built Up Area 409Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
32,49,000  32 Lacs+",Nil,Nil,Nil,Nil,Nil, 19104120
iv,Residential Buildings,"4472 Gulmandi Aurangabad
Total Area 585Sq.Ft
Built Up Area 1225Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
28,05,100  28 Lacs+

4218/19/20 Kumbharvada
Total Area 228Sq.Ft
Built Up Area 753Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,02,550  14 Lacs+

Pahadsingpura Aurangabad 98 A-4
Total Area 4-648Sq.Ft
Built Up Area 4-990Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
16,20,000  16 Lacs+

House No. F-9
Total Area 9-484Sq.Ft
Built Up Area 650Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
12,15,000  12 Lacs+

4205, Gulmandi Auranbagad
Total Area 1058Sq.Ft
Built Up Area 1058Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
55,04,800  55 Lacs+",Nil,Nil,"Pahadsingpura 98 A-4
Total Area 4-648Sq.Ft
Built Up Area 9-484Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
16,20,000  16 Lacs+

House No. F-9
Total Area 9-484Sq.Ft
Built Up Area 650Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
12,15,000  12 Lacs+","Pahadsingpura 98, A-4
Total Area 648Sq.Ft
Built Up Area 990Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
16,20,000  16 Lacs+

House No. F-9
Total Area 484sq.Ft
Built Up Area 650Sq.Ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
12,15,000  12 Lacs+",Nil, 18217450
v,Others,"13791 Krantichowk Auranbagad
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
52,50,000  52 Lacs+","11/1 Bhavsingpura Aurangabad
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
5,25,000  5 Lacs+

Interpiya 53/B, Ghorpadi Sopanbag
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
11,00,000  11 Lacs+

13791 Kratichowk Aurangabad
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
5,50,000  5 Lacs+",Nil,Nil,Nil,Nil, 7425000
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"19,02,39,238  19 Crore+","2,53,82,050  2 Crore+",Nil,"4,65,42,888  4 Crore+","4,65,42,888  4 Crore+",Nil, 308707064
vii,Totals Calculated,"Rs 19,02,39,238
19 Crore+","Rs 2,53,82,050
2 Crore+",Nil,"Rs 4,65,42,888
4 Crore+","Rs 4,65,42,888
4 Crore+",Nil, 308707064
