SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Jorve Sangamner 1, 131/1 480 63999+1962636+221333
Total Area 3Acre23R
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
22,47,968  22 Lacs+","Jorve Sangamner 49/1
Total Area 3Acre14R
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,77,448  15 Lacs+

Jakhuri Sangamner 399/1
Total Area 8Acre11R
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
31,29,936  31 Lacs+",Nil,Nil,"Jakhuri Sangamner 429
Total Area 3Acre17R
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
12,95,472  12 Lacs+",Nil, 8250824
ii,Non Agricultural Land,Nil,"Samnapur Sangamner
Total Area 23672Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-08-13
Purchase Cost 1500000.00
Development Cost 0.00
34,10,000  34 Lacs+",Nil,Nil,"Sangamner 135/112
Total Area 21520Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2017-01-09
Purchase Cost 15260000.00
Development Cost 0.00
1,52,60,000  1 Crore+",Nil, 18670000
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Residential Buildings,"Santsavli Jorve Sangamner 1040
Total Area 1823.98Sq.Ft
Built Up Area 3039.91Sq.Ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
32,46,154  32 Lacs+

Sudarshan 7, Shivajinagar Sangamner 4018/2
Total Area 3847.77Sq.Ft
Built Up Area 6337.64Sq.Ft
Whether Inherited N
Purchase Date 1989-02-08
Purchase Cost 100000.00
Development Cost 1650000.00
1,05,32,794  1 Crore+

Worli Sagar Coop Housing Society Mumbai Sadanika Building - Godavari Flat No. 1201
Total Area 949.68Sq.Ft
Built Up Area 949-68Sq.Ft
Whether Inherited N
Purchase Date 2018-12-03
Purchase Cost 3960000.00
Development Cost 0.00
3,96,00,000  3 Crore+",Nil,Nil,"Worli Sagar Coop Housing Society Ltd Mumbai Sadanika Flat No. 1201
Total Area 949.68Sq.Ft
Built Up Area 949.68Sq.Ft
Whether Inherited N
Purchase Date 2018-12-03
Purchase Cost 18180000.00
Development Cost 0.00
1,81,80,000  1 Crore+",Nil,Nil, 71558948
v,Others,"Furniture And Others
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,00,000  10 Lacs+

Telephone And Instrument - Mobile
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
30,000  30 Thou+","Telephone And Instrument- Mobile
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,000  15 Thou+

Plot Purchase 136(5 Part)
Total Area 3536Sq.Mtr
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,92,400  14 Lacs+",Nil,"Telephone And Instrument - Mobile
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,000  15 Thou+","Telephone And Instrument - Mobile
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,000  15 Thou+",Nil, 2567400
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"5,66,56,916  5 Crore+","96,24,784  96 Lacs+",Nil,"1,81,95,000  1 Crore+","1,65,70,472  1 Crore+",Nil, 101047172
vii,Totals Calculated,"Rs 5,66,56,916
5 Crore+","Rs 96,24,784
96 Lacs+",Nil,"Rs 1,81,95,000
1 Crore+","Rs 1,65,70,472
1 Crore+",Nil, 101047172
