SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,Nil,"Village Wada Dist. Palgar S.No 120/2
Total Area 1.95 Acres
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 2305333.00
Development Cost 0.00
19,09,316  19 Lacs+

Village Wada Dist. Palgar S.No 119
Total Area 2.15 Acres
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 4386000.00
Development Cost 0.00
43,86,000  43 Lacs+",Nil,Nil,Nil,Nil, 6295316
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Commercial Buildings,"Shop No 8 & 9 Dev Aagan Jain Mandir Road Bhayander West S.No. 2
Total Area 3271 Sq.ft
Built Up Area 3271 Sq.ft
Whether Inherited N
Purchase Date 2019-03-29
Purchase Cost 8551250.00
Development Cost 0.00
85,51,250  85 Lacs+","Shop No 8 & 9 Dev Aagan Jain Mandir Road Bhayander West
Total Area 327.71Sq.ft
Built Up Area 327.71Sq.ft
Whether Inherited N
Purchase Date 2019-03-29
Purchase Cost 8551250.00
Development Cost 0.00
85,51,250  85 Lacs+

Motinagar Dhop Janki Heights 100ft Bhayander East
Total Area 200Sq.ft
Built Up Area 200Sq.ft
Whether Inherited N
Purchase Date 2014-12-26
Purchase Cost 809600.00
Development Cost 0.00
24,99,382  24 Lacs+",Nil,Nil,Nil,Nil, 19601882
iv,Residential Buildings,Nil,"Bunglow at Jaipur 48-A, vidhyud Nagar- B, Near Vaishali Nagar, Akmer Road, Jaipur
Total Area 10255.05Sq.ft
Built Up Area 10255.05Sq.ft
Whether Inherited N
Purchase Date 2016-02-10
Purchase Cost 59500000.00
Development Cost 0.00
8,12,44,800  8 Crore+",Nil,Nil,Nil,Nil, 81244800
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"85,51,260  85 Lacs+","9,85,90,748  9 Crore+",Nil,Nil,Nil,Nil, 107142008
vii,Totals Calculated,"Rs 85,51,250
85 Lacs+","Rs 9,85,90,748
9 Crore+",Nil,Nil,Nil,Nil, 107141998
