SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Mouje Mahalkhede,Tal Muktainagar Survey No. 61/1 Plot No.53/1, Survey No.61/1 Plot No.53/2, Mouje Therole,Tal-Muktainagar Survey No.75/1 Joind, Mouje Purnad, Tal.Muktainagar Survey No.196, Mouje Muktainagar, Tal- Muktainagar Survey No.61/1, Survey No. 157
Total Area 17.59 acar
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
56,69,000  56 Lacs+","Mouje Mahalkhede, Tal.Muktainagar Survey No.61/1 Plot No.53/3 Purchase Date 2011-12-29 Purchase Cost 280000.00 Survey No.61/1 Plot No.53/4 Purchase Date 2011-12-29 Purchase Cost 210000.00 Development Cost 0.00 Mouje Neemkhedi Tal.Mutainagar Survey No.75/1 Joind
Total Area 8.62 acar
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
20,12,000  20 Lacs+",Nil,Nil,Nil,Nil, 7681000
ii,Non Agricultural Land,Nil,"Muktainagarm Tal-Muktainagar Survey No.376/2 Plot No.7 Purchase Date 2012-11-29 Purchase Cost 51000.00 Survey No.376/2 Plot No.8 Purchase Date 2011-03-01, Purchase Cost. 155000.00
Total Area 4443 sq.ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
20,00,000  20 Lacs+",Nil,Nil,Nil,Nil, 2000000
iii,Commercial Buildings,"Muktainagar, Tal Muktainagar C.Suvery No.54 Room No.237/1/A
Total Area 287.39 sq.ft
Built Up Area 285 sq.ft
Whether Inherited N
Purchase Date 2014-04-20
Purchase Cost 337000.00
Development Cost 0.00
11,00,000  11 Lacs+",Nil,Nil,Nil,Nil,Nil, 1100000
iv,Residential Buildings,"Mouje Muktainagar, Tal-Muktainagar Survey No.569/1 Plot No.4
Total Area 4628.50 sq.ft
Built Up Area 2000 sq.ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
45,00,000  45 Lacs+",Nil,Nil,Nil,Nil,Nil, 4500000
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"1,12,69,000  1 Crore+","40,12,000  40 Lacs+",Nil,Nil,Nil,Nil, 15281000
vii,Totals Calculated,"Rs 1,12,69,000
1 Crore+","Rs 40,12,000
40 Lacs+",Nil,Nil,Nil,Nil, 15281000
