SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"Dhansavangi Jalna 240,241
Total Area
Built Up Area
Whether Inherited N
Purchase Date 2013-06-25
Purchase Cost 4399220.00
Development Cost 0.00
1,02,30,000  1 Crore+

Dhansavangi Jalna 207
Total Area 23Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2007-07-13
Purchase Cost 31000.00
Development Cost 0.00
27,17,000  27 Lacs+

Kuran Jalna 117
Total Area 1Acre35Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1991-04-04
Purchase Cost 179000.00
Development Cost 0.00
74,89,200  74 Lacs+

Khalapuri Jalna 65
Total Area 5Acre
Built Up Area
Whether Inherited N
Purchase Date 2006-07-05
Purchase Cost 135000.00
Development Cost 0.00
31,48,000  31 Lacs+

Jalna 31/2
Total Area 2Acre
Built Up Area
Whether Inherited N
Purchase Date 2013-05-13
Purchase Cost 2000000.00
Development Cost 0.00
99,45,000  99 Lacs+

Jalna 23
Total Area 3Acre19Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2013-05-13
Purchase Cost 6438980.00
Development Cost 0.00
1,08,24,000  1 Crore+

Patharvala Jalna 43
Total Area 8Acre13Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1986-05-06
Purchase Cost 27000.00
Development Cost 0.00
63,13,680  63 Lacs+

Patharvala Jalna 38
Total Area 2Acre1Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1987-05-25
Purchase Cost 12000.00
Development Cost 0.00
15,35,760  15 Lacs+

Davargaon Jalna 123
Total Area 4Acre7Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1995-06-26
Purchase Cost 65000.00
Development Cost 0.00
18,99,450  18 Lacs+

Davargaon Jalna 123
Total Area 4Acre8Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1993-01-25
Purchase Cost 65000.00
Development Cost 0.00
18,99,450  18 Lacs+

Sundarvadi Aurangabad 34
Total Area 2Acre
Built Up Area
Whether Inherited N
Purchase Date 2007-04-23
Purchase Cost 130000.00
Development Cost 0.00
2,31,60,000  2 Crore+

Khalapuri Jalna 63
Total Area 3Acre7Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2016-12-08
Purchase Cost 930000.00
Development Cost 0.00
19,98,980  19 Lacs+","Kuran Jalna 110
Total Area 2Acre23Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1994-05-18
Purchase Cost 47500.00
Development Cost 0.00
15,80,020  15 Lacs+

Kuran Ambad Jalna 117
Total Area 1Acre20Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1995-04-04
Purchase Cost 0.00
Development Cost 0.00
56,88,000  56 Lacs+

Khalapuri Jalna 65
Total Area 1Acre29Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2001-07-05
Purchase Cost 0.00
Development Cost 0.00
10,86,060  10 Lacs+

Patharvala Jalna 94
Total Area 23Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1998-07-27
Purchase Cost 0.00
Development Cost 0.00
15,30,643  15 Lacs+

Kuran Jalna 109
Total Area 2Acre13Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1999-01-06
Purchase Cost 0.00
Development Cost 0.00
14,26,620  14 Lacs+

Kuran Jalna 109
Total Area 3Acre2Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1998-07-23
Purchase Cost 0.00
Development Cost 0.00
18,71,480  18 Lacs+",Nil,"Kuran Ambad Jalna 113
Total Area 4Acre38Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2000-12-14
Purchase Cost 140000.00
Development Cost 0.00
30,37,320  30 Lacs+",Nil,Nil, 97380663
ii,Non Agricultural Land,"Railway Station Jalna 11380/149
Total Area 5488
Built Up Area
Whether Inherited N
Purchase Date 1999-06-26
Purchase Cost 291000.00
Development Cost 0.00
25,50,000  25 Lacs+

Mantha Jalna 555
Total Area 5978
Built Up Area
Whether Inherited N
Purchase Date 2018-09-21
Purchase Cost 3210000.00
Development Cost 0.00
32,10,000  32 Lacs+

Mondha Road Jalna 169/176
Total Area 71493
Built Up Area
Whether Inherited N
Purchase Date 2015-04-13
Purchase Cost 13979000.00
Development Cost 0.00
1,62,78,633  1 Crore+

Dev Murti Jalna 245
Total Area 77974
Built Up Area
Whether Inherited N
Purchase Date 2016-11-15
Purchase Cost 11958000.00
Development Cost 0.00
1,30,95,500  1 Crore+

Dev Murti Jalna 245
Total Area 56582
Built Up Area
Whether Inherited N
Purchase Date 2016-11-11
Purchase Cost 8645000.00
Development Cost 0.00
95,11,400  95 Lacs+

Shahanurvadi Aurangabad 10
Total Area 8743
Built Up Area
Whether Inherited N
Purchase Date 2014-11-20
Purchase Cost 14684200.00
Development Cost 0.00
1,38,21,000  1 Crore+

Bhagyanagar Jalna 7313/B63
Total Area 2259
Built Up Area
Whether Inherited N
Purchase Date 1994-06-12
Purchase Cost 49000.00
Development Cost 115160.00
11,97,000  11 Lacs+

Dhansavangi Jalna 393
Total Area 21780
Built Up Area
Whether Inherited N
Purchase Date 2006-03-04
Purchase Cost 170000.00
Development Cost 0.00
24,05,000  24 Lacs+

Indevadi Jalna 44
Total Area 28780
Built Up Area
Whether Inherited N
Purchase Date 2016-11-11
Purchase Cost 3610200.00
Development Cost 0.00
39,71,220  39 Lacs+","Abad Jalna 18/52/37
Total Area 1999
Built Up Area
Whether Inherited N
Purchase Date 2001-09-11
Purchase Cost 72000.00
Development Cost 0.00
5,10,867  5 Lacs+",Nil,Nil,Nil,Nil, 66550620
iii,Commercial Buildings,"Suraj Apt Jalna 9882/11A
Total Area 810
Built Up Area 810
Whether Inherited N
Purchase Date 1992-02-09
Purchase Cost 150000.00
Development Cost 0.00
17,30,768  17 Lacs+

Shivaji Nagar Pune 1108/1B/1
Total Area 547
Built Up Area 547
Whether Inherited N
Purchase Date 1991-02-01
Purchase Cost 226800.00
Development Cost 0.00
51,61,276  51 Lacs+

Ajinkya Complex 52
Total Area 1937
Built Up Area 1800
Whether Inherited N
Purchase Date 1999-03-09
Purchase Cost 55000.00
Development Cost 0.00
35,00,000  35 Lacs+

Yashvant Nagar Jalna 11397/83
Total Area 2043
Built Up Area 1758
Whether Inherited N
Purchase Date 1993-12-23
Purchase Cost 20000.00
Development Cost 0.00
41,84,363  41 Lacs+

Yashvant Nagar Jalna 11397/101,108,109
Total Area 9966
Built Up Area 9519
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 94000.00
Development Cost 0.00
2,69,00,407  2 Crore+

Dadar Mumbai Flat 2/1286
Total Area 1001
Built Up Area 1001
Whether Inherited N
Purchase Date 2000-10-10
Purchase Cost 604422.00
Development Cost 0.00
1,29,98,665  1 Crore+

Ambad Nuran 82/2
Total Area 3000
Built Up Area 1600
Whether Inherited N
Purchase Date 1993-06-10
Purchase Cost 290128.00
Development Cost 0.00
25,08,697  25 Lacs+

Pune Haveli 8 Flat 1277
Total Area 2454
Built Up Area 2454
Whether Inherited N
Purchase Date 2015-01-09
Purchase Cost 21049489.00
Development Cost 0.00
2,10,49,489  2 Crore+

Ajinkya Industries MIDC H23/1/8
Total Area 19400
Built Up Area 14440
Whether Inherited N
Purchase Date 1997-06-08
Purchase Cost 270500.00
Development Cost 3498727.00
40,65,765  40 Lacs+","Jalna MIDC D42
Total Area 5555
Built Up Area 1500
Whether Inherited N
Purchase Date 1997-01-22
Purchase Cost 14500.00
Development Cost 191456.00
4,88,766  4 Lacs+

Shendra MIDC X10
Total Area 79785.4
Built Up Area 8000
Whether Inherited N
Purchase Date 2004-02-03
Purchase Cost 926900.00
Development Cost 5723796.00
3,62,73,596  3 Crore+

Ambad Main Road 91,5
Total Area 7145
Built Up Area 6500
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 336880.00
Development Cost 8853558.00
1,06,79,613  1 Crore+

Sidco Valunj Mahanagar 1
Total Area 10760
Built Up Area 10280
Whether Inherited N
Purchase Date 2006-11-14
Purchase Cost 1501000.00
Development Cost 18802646.00
3,21,76,114  3 Crore+",Nil,Nil,Nil,Nil, 161717519
iv,Residential Buildings,"Ajinkya Bungalow Bhagyanagar 497
Total Area 10767Sq.Ft
Built Up Area 6514Sq.Ft
Whether Inherited N
Purchase Date 1993-01-12
Purchase Cost 152000.00
Development Cost 2378336.00
1,70,25,905  1 Crore+",Nil,Nil,Nil,Nil,Nil, 17025905
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"24,63,25,608  24 Crore+","10,64,10,444  10 Crore+",Nil,"30,37,320  30 Lacs+",Nil,Nil, 355773372
vii,Totals Calculated,"Rs 24,63,25,608
24 Crore+","Rs 9,33,11,779
9 Crore+",Nil,"Rs 30,37,320
30 Lacs+",Nil,Nil, 342674707
