SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Agricultural Land,"At Tarwadi, Tal - Nandura, Gat No. 258 1/3 shere 30.06.1998
Total Area 03 Hector 45 r
Built Up Area
Whether Inherited N
Purchase Date 1999-07-16
Purchase Cost 18400.00
Development Cost 100000.00
10,00,000  10 Lacs+

At Tarwadi, Tal - Nandura, Gat No. 259
Total Area 01 hector 4 r
Built Up Area
Whether Inherited N
Purchase Date 2002-07-29
Purchase Cost 18400.00
Development Cost 500000.00
4,00,000  4 Lacs+

At Tarwadi, Tal - Nandura, Gat No. 263
Total Area 00 hector 93 r
Built Up Area
Whether Inherited N
Purchase Date 2006-06-27
Purchase Cost 19000.00
Development Cost 0.00
3,00,000  3 Lacs+

At Tarwadi, Tal - Nandura, Gat No. 334
Total Area 01 Hector 43
Built Up Area
Whether Inherited N
Purchase Date 2006-06-27
Purchase Cost 27400.00
Development Cost 0.00
5,00,000  5 Lacs+

At Parkhed, Tal - Khamgaon, Gat No.
Total Area 00 Hector 81 r
Built Up Area
Whether Inherited N
Purchase Date 2012-12-15
Purchase Cost 129100.00
Development Cost 0.00
3,00,000  3 Lacs+

At Chikhali Khurd, Tal - Khamgaon, Gat No. 64B
Total Area 02 Hector 55 r
Built Up Area
Whether Inherited N
Purchase Date 2010-12-15
Purchase Cost 93400.00
Development Cost 0.00
10,00,000  10 Lacs+","At Tarwadi, Tal - Nandura, Gat No. 260
Total Area 09 Hector 58 r
Built Up Area
Whether Inherited Y
Purchase Date 2007-07-31
Purchase Cost 106250.00
Development Cost 0.00
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil, 6000000
ii,Non Agricultural Land,"At Tarwadi, Tal - Nandura, Gat No. 258
Total Area 24000 sq. ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,00,000  15 Lacs+

At Chikhali, Taluka - Khamgaon Khurd, Dist - Buldhana
Total Area 40000 sq. ft.
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
20,00,000  20 Lacs+",Nil,Nil,Nil,Nil,Nil, 3500000
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Residential Buildings,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Total Current Market Value of (i) to (v) (as per Affidavit),"76,00,000  76 Lacs+","25,00,000  25 Lacs+",Nil,Nil,Nil,Nil, 10100000
vii,Totals Calculated,"Rs 70,00,000
70 Lacs+","Rs 25,00,000
25 Lacs+",Nil,Nil,Nil,Nil, 9500000
