0,1,2,3,4,5,6,7,8
i,Cash,"3,78,797  3 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,78,797
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank Of Baroda Raviwar Peth Br
64,210  64 Thou+

Bank Of Baroda Deccan Gymkhana Br
78,376  78 Thou+

Vidha Sahkari Bank Ltd Bibewadi Br
23,90,600  23 Lacs+

Saraswat Sahkar Bank Ltd Bibewadi
3,454  3 Thou+

State Bank Of India Mumbai
22,95,444  22 Lacs+

Axis Bank Bibewadi Br
3,73,000  3 Lacs+

Vishweshwar Sahkar Bank Ltd Vishrant Wadi
98,723  98 Thou+

VIshweshwar Sahkar Bank Ltd Vishrant Wadi
4,02,434  4 Lacs+

Udham Vikas Sah Bank Ltd
1,24,065  1 Lacs+

Vishweshwar Sahkar Bank Ltd
1,07,50,000  1 Crore+

Bank Of Baroda
53,879  53 Thou+

State Bank Of India Mumbai
1,63,423  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,67,97,608
1 Crore+"
iii,"Bonds, Debentures and Shares in companies","M Tafel Pvt Ltd
50,000  50 Thou+

Kelkar Glass Builders Pvt Ltd
2,50,000  2 Lacs+

Tirtha Real Estate
1,000  1 Thou+

Cafeb Enterprises Pvt Ltd
19,900  19 Thou+

Satishbhau N Sahkar Patsanstha Ltd
1,62,030  1 Lacs+

HDFC Liqid Fund
50,00,000  50 Lacs+

Axis Bluechip Fund Growth
7,75,230  7 Lacs+

Axis Ultra Short Turm Fund Growth
7,59,266  7 Lacs+

Kotak Standard Multicap Fund
7,44,335  7 Lacs+

Kotak Band Regular Plan Growth
7,57,667  7 Lacs+

Vishweshwar Sah Bank Ltd
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 95,19,428
95 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"M Spain SM Partnership Organization
29,62,569  29 Lacs+

Saral Associates Partnership Organization
35,69,693  35 Lacs+

M Spain Associate Partnership Organization
29,63,365  29 Lacs+

Satish Misal Education Foundation
4,30,56,299  4 Crore+

Tirtha Real Estate Pvt Ltd
52,75,117  52 Lacs+

M Tafel Pvt Ltd
6,37,89,321  6 Crore+

Advance payment for land purchase and other transactions
16,29,83,502  16 Crore+

Furniture & Features
17,40,372  17 Lacs+

Air Conditioner
48,007  48 Thou+

Revolver Company Black Cobra
60,000  60 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 28,64,48,245
28 Crore+"
vi,"Motor Vehicles (details of make, etc.)","BMW MH 12 MJ 3700 Year 2015
45,53,578  45 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 45,53,578
45 Lacs+"
vii,Jewellery (give details weight value),"70 Tola Diamond Jewellery 30
1,80,92,203  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,80,92,203
1 Crore+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"33,48,93,779  33 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 33,48,93,779
33 Crore+",
Totals (Calculated as Sum of Values),"Rs 33,57,89,859
33 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 33,57,89,859
33 Crore+",
